study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB29238	SAMEA4981774	ERX2855170	ERR2848481	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/001/ERR2848481/ERR2848481.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848481/06-080_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848481/06-080_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/001/ERR2848481	
PRJEB29238	SAMEA4981776	ERX2855172	ERR2848483	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/003/ERR2848483/ERR2848483.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848483/06-102_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848483/06-102_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/003/ERR2848483	
PRJEB29238	SAMEA4981779	ERX2855175	ERR2848486	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/006/ERR2848486/ERR2848486.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848486/06-127_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848486/06-127_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/006/ERR2848486	
PRJEB29238	SAMEA4981782	ERX2855178	ERR2848489	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/009/ERR2848489/ERR2848489.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848489/06-132_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848489/06-132_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/009/ERR2848489	
PRJEB29238	SAMEA4981789	ERX2855185	ERR2848496	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/006/ERR2848496/ERR2848496.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848496/06-167_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848496/06-167_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/006/ERR2848496	
PRJEB29238	SAMEA4981794	ERX2855190	ERR2848501	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/001/ERR2848501/ERR2848501.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848501/06-217_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848501/06-217_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/001/ERR2848501	
PRJEB29238	SAMEA4981797	ERX2855193	ERR2848504	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/004/ERR2848504/ERR2848504.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848504/07-002_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848504/07-002_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/004/ERR2848504	
PRJEB29238	SAMEA4981773	ERX2855169	ERR2848480	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/000/ERR2848480/ERR2848480.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848480/06-071_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848480/06-071_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/000/ERR2848480	
PRJEB29238	SAMEA4981803	ERX2855199	ERR2848510	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/000/ERR2848510/ERR2848510.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848510/07-010_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848510/07-010_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/000/ERR2848510	
PRJEB29238	SAMEA4981777	ERX2855173	ERR2848484	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR284/004/ERR2848484/ERR2848484.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848484/06-104_R1_renamed.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR284/ERR2848484/06-104_R2_renamed.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR284/004/ERR2848484	
